LOCALIDADES,Cala Sur,San Isidro,Amixtln,Tlacotepec (San Mateo),Zoatecpan,Coahuixco,Xaltepec,El Mirador,Ahueyahualco,Chicahuaxtla,San Juan Tahitic,Xonocuautla,Chapopote Nez,Espinal,Xochitln de Vicente Surez,Juan Marcos (San Jos Buenavista),Ocotln de Betancourt,Colonias Pedernales,Oyameles,Ayotoxco de Guerrero,Plan de Arroyos,Tzinacapan,La Libertad,General Lzaro Crdenas del Ro,Xoloateno,Nautla,San Francisco,Mecapalapa,Coahuitln,Jicolapa,Los Molinos (San Jos),Zozocolco de Hidalgo,Comaltepec,Las Colonias de Hidalgo,Arroyo del Maz Uno,Las Lomas,Ixtepec,Villa Aldama,Chicontla,Colonia Libertad,Entabladero,Chiconcuautla,Atzingo (La Cumbre),San Jos Acateno,San Francisco,San Andrs Payuca,Caxhuacan,Tepango de Rodrguez,Sosa,Huitzilan,Xaltepuxtla,Estero del dolo,Felipe Carrillo Puerto,La Palmilla,Metlaltoyuca,San Sebastin,Zacate Colorado,El Chote,Coxquihui,San Antonio Limn (Totalco),San Miguel Tenextatiloyan,Tacopan,Cazones de Herrera,Zongozotla,Tatoxcac,Castillo de Teayo,Ciudad de Tetela de Ocampo,Xalacapan,Teteles de Avila Castillo,San Juan Acateno,Yaonhuac,Tecolutla,Puntilla Aldama,Xaltipan,Mecatln,Atoluca,Hueytamalco,Agua Dulce,Ciudad de Cuetzalan,Hueyapan,Venustiano Carranza,Atempan,San Rafael,Tenango de las Flores,Totolapa,Nuevo Necaxa,San Juan Xiutetelco,Zacapoaxtla,Coyutla,Santiago de la Pea,Villa vila Camacho (La Ceiba),Ciudad de Tlatlauquitepec,Zaragoza,Chignautla,Plan de Ayala,Villa Lzaro Crdenas (La Uno),Filomeno Mata,Jalacingo,Gutirrez Zamora,Tihuatln,Alto Lucero,Independencia,Altotonga,lamo,Zacatln,Coatzintla,Tlapacoyan,Perote,Xicotepec de Jurez,Papantla de Olarte,Teziutln,Martnez de la Torre,Txpam de Rodrguez Cano,Poza Rica de Hidalgo, 
Independencia,70.532,58.204,156.356,162.444,121.724,62.647,190.579,89.226,62.036,197.728,117.11,79.326,151.896,65.63,125.267,66.801,92.854,1.324,86.79,66.155,31.416,101.581,102.689,100.243,62.193,42.93,54.712,153.321,124.25,263.046,79.967,92.926,106.278,185.556,101.31,106.377,125.256,72.292,175.559,69.099,82.049,208.831,264.62,23.521,186.94,131.299,110.541,140.468,61.504,134.169,188.082,147.28,27.822,12.554,158.996,56.896,101.853,72.258,94.627,108.533,106.297,69.347,129.648,143.01,106.042,130.213,146.064,109.803,73.246,56.432,76.088,81.285,25.908,56.48,125.254,50.191,35.937,69.428,100.718,77.097,119.222,70.686,27.169,183.514,99.383,181.955,53.139,106.403,111.818,156.197,145.24,83.475,96.658,59.825,96.594,121.136,126.192,50.329,70.17,117.914,164.647,0,61.772,166.916,248.197,88.061,22.643,88.711,171.412,77.571,53.642,2.801,160.359,96.813, 
Altotonga,41.938,28.29,149.987,241.436,94.359,34.053,254.479,60.632,5.771,261.628,88.516,50.733,201.245,97.883,104.82,10.412,64.26,63.07,57.172,73.092,48.964,108.519,74.095,149.592,33.599,104.36,13.327,202.67,131.188,206.78,23.701,99.864,77.684,249.456,150.659,77.783,128.179,16.026,277.308,12.833,116.29,272.731,208.354,64.04,236.289,66.224,117.479,134.099,30.749,105.575,251.982,196.629,87.129,49.655,208.345,33.8,151.202,121.606,101.565,52.267,77.703,40.753,171.68,114.416,77.448,179.562,117.47,81.209,44.652,33.336,47.494,140.592,85.216,19.78,132.192,25.44,42.875,118.777,107.656,48.503,168.571,42.092,86.476,247.591,148.732,245.252,16.439,77.809,118.756,196.259,194.589,54.881,68.064,31.231,145.943,170.485,133.13,14.625,129.477,167.263,204.71,61.772,0,190.755,203.005,130.342,36.07,24.467,255.012,119.852,26.951,59.05,193.174,139.094, 
lamo,186.729,184.512,215.938,219.1,167.202,178.844,136.495,205.423,194.724,143.644,185.503,205.634,4.308,101.189,148.262,199.489,196.261,168.214,209.295,125.794,197.75,147.059,201.766,48.362,178.39,143.162,181.02,81.18,114.954,179.752,212.655,113.565,183.402,131.472,59.525,190.977,145.066,204.98,127.742,201.787,89.773,154.747,186.018,132.983,96.367,311.429,130.351,160.278,177.701,163.173,133.998,4.517,154.048,177.684,32.678,167.846,59.991,77.674,106.582,336.522,205.374,185.544,70.453,167.145,184.946,25.227,217.32,176.605,189.443,165.357,180.8,109.33,144.801,182.788,115.958,176.499,154.622,84.788,146.196,177.971,81.081,186.883,152.83,129.607,51.249,127.268,179.447,180.386,102.522,36.17,97.423,199.673,199.014,176.022,51.841,82.995,116.896,176.637,98.215,31.345,33.62,166.916,190.755,0,182.539,60.304,168.61,221.047,124.041,74.618,181.468,147.221,42.341,56.954, 
Zacatln,210.651,219.899,34.45,37.006,101.705,214.054,75.122,187.295,198.209,82.271,115.082,186.47,186.002,192.769,74.18,203.585,184.103,249.495,174.967,109.078,254.441,99.924,177.075,155.577,220.064,250.263,210.884,119.54,181.533,2.419,190.724,81.311,112.982,70.099,166.74,101.783,59.955,197.372,97.951,196.48,176.187,69.111,3.923,232.706,153.159,154.696,72.056,34.679,216.559,63.204,72.625,181.386,261.149,255.132,193.103,220.683,150.127,177.397,89.376,179.789,170.225,209.064,177.554,67.176,114.525,164.32,56.893,106.184,203.448,220.311,204.187,216.431,251.902,211.374,182.537,226.416,247.738,184.511,98.871,207.39,133.968,206.365,259.931,68.234,158.464,65.895,218.243,109.965,169.101,180.744,109.818,192.16,180.266,216.962,159.056,126.927,119.792,216.429,205.316,152.021,189.195,248.197,203.005,182.539,0,159.024,238.826,187.295,77.498,180.551,224.327,261.806,184.532,162.887, 
Coatzintla,126.316,124.099,123.222,195.9,114.258,118.431,102.451,145.01,134.311,109.6,132.559,145.221,63.768,40.776,95.318,139.076,148.638,89.359,152.685,65.381,118.895,94.115,158.473,12.115,117.977,93.021,120.607,65.193,62.01,156.552,152.242,60.621,130.458,97.428,13.078,138.033,92.122,144.567,87.431,141.374,36.829,120.703,162.818,72.57,98.812,187.083,77.407,107.334,117.288,110.229,99.954,59.152,91.744,98.829,70.868,107.433,13.725,17.261,53.638,180.808,162.081,125.131,34.203,114.201,132.002,42.085,194.12,123.661,129.03,104.944,120.387,59.19,82.497,122.375,63.014,116.086,94.209,24.375,93.252,117.558,31.094,126.47,90.526,95.386,11.255,93.827,119.034,127.442,49.578,58.782,57.112,139.26,152.442,115.609,8.466,33.008,63.952,116.224,48.075,29.786,67.233,88.061,130.342,60.304,159.024,0,108.294,160.731,83.339,20.117,121.152,86.905,62.82,8.74, 
Tlapacoyan,49.35,37.022,133.668,139.756,99.036,41.465,210.757,68.044,40.038,217.906,95.928,58.144,172.074,68.258,102.579,44.803,71.672,23.941,65.608,43.467,23.504,78.893,81.507,120.421,41.011,65.231,33.53,173.499,101.562,241.048,57.969,70.238,85.096,205.734,121.488,85.195,102.568,50.294,195.737,47.101,86.664,229.009,242.622,25.472,207.118,110.117,87.853,117.78,40.322,112.987,208.26,167.458,48,10.526,179.174,35.714,122.031,92.436,71.939,86.535,85.115,48.165,149.826,127.229,84.86,150.391,124.882,88.621,52.064,35.25,54.906,101.463,46.087,35.298,102.566,29.009,13.249,89.606,78.03,55.915,139.4,49.504,47.347,203.692,119.561,202.133,31.957,85.221,89.13,176.375,165.418,62.293,75.476,38.643,116.772,141.314,103.504,29.147,90.348,138.092,184.825,22.643,36.07,168.61,238.826,108.294,0,67.002,191.695,97.854,30.785,23.051,180.642,117.096, 
Perote,58.006,36.05,219.392,224.173,85.434,50.247,237.216,56.428,19.671,244.365,79.592,51.426,224.511,121.149,95.895,27.604,53.236,90.009,47.39,96.358,75.903,104.775,56.574,172.858,40.956,131.299,29.371,281.634,154.454,189.517,5.137,123.13,68.76,232.193,173.925,67.459,119.254,14.235,260.045,20.499,139.556,255.468,191.091,98.482,315.253,48.961,129.553,125.174,49.361,96.65,234.719,219.895,114.068,76.594,231.611,45.428,174.468,144.872,124.831,28.337,66.771,56.821,194.946,105.491,68.523,202.828,104.259,72.285,54.734,44.964,57.576,167.531,112.155,27.158,155.458,48.706,66.141,142.043,103.721,58.585,191.837,52.198,113.415,230.328,171.998,227.989,39.705,68.885,142.022,219.525,271.912,55.11,50.043,51.127,169.209,193.751,156.396,37.891,156.416,190.529,227.976,88.711,24.467,221.047,187.295,160.731,67.002,0,239.012,143.302,50.4,82.499,216.624,162.544, 
Xicotepec de Jurez,262.658,207.45,111.212,114.374,156.996,266.061,19.664,239.302,250.216,26.813,170.783,238.477,127.504,115.984,138.056,255.592,236.11,172.71,226.974,123.935,202.246,136.853,229.082,84.89,272.071,177.563,203.958,61.042,104.748,75.026,242.731,103.359,168.683,14.641,89.013,157.484,134.86,249.379,28.434,248.487,99.402,37.916,81.292,155.921,78.1,206.703,120.145,111.441,200.639,139.966,17.167,122.888,188.449,182.18,134.605,190.784,73.343,100.612,96.376,231.796,222.232,261.071,110.139,143.938,170.226,105.822,112.594,161.885,255.455,188.295,256.194,143.732,179.202,205.726,105.752,199.437,177.56,107.726,135.99,259.397,57.183,258.372,187.231,12.599,84.03,11.04,202.385,165.666,92.316,122.246,28.986,244.167,232.273,198.96,81.241,50.142,106.69,199.575,132.617,93.523,130.697,171.412,255.012,124.041,77.498,83.339,191.695,239.012,0,103.66,204.476,170.229,125.931,85.996, 
Papantla de Olarte,115.826,113.609,118.723,217.427,110.593,107.941,122.799,134.52,123.821,129.948,128.894,134.731,78.082,30.287,90.819,128.586,138.148,78.869,142.195,54.892,108.405,90.45,147.983,26.429,107.487,74.192,110.117,79.507,85.314,178.079,141.752,56.122,126.793,117.776,21.281,134.368,87.623,134.077,107.779,130.884,60.133,141.051,184.345,62.08,113.126,176.593,72.908,102.835,106.798,105.73,120.302,73.466,85.078,88.339,85.182,96.943,30.351,7.106,49.138,170.318,151.591,114.641,48.224,109.702,128.337,56.399,215.647,119.996,118.54,94.454,109.897,40.361,75.831,111.885,86.318,105.596,83.719,13.885,89.587,107.068,51.442,115.98,83.86,115.734,25.569,114.175,108.544,123.777,72.882,73.096,77.46,128.77,141.952,105.119,22.78,53.356,87.256,105.734,29.246,44.1,81.547,77.571,119.852,74.618,180.551,20.117,97.854,143.302,103.66,0,110.587,76.34,76.991,19.206, 
Teziutln,16.901,4.556,124.95,131.038,69.322,9.016,223.615,35.595,30.919,230.764,63.479,25.695,184.932,70.388,79.783,35.685,39.223,54.94,33.159,45.597,53.253,81.024,49.058,133.279,8.562,96.23,11.609,186.357,103.692,226.549,48.85,72.368,52.647,218.592,134.346,52.746,103.142,41.175,208.595,37.982,88.794,241.867,228.123,58.903,219.976,77.668,89.984,109.062,7.873,80.538,221.118,180.316,78.999,41.525,192.032,7.607,134.889,105.293,74.069,77.416,52.666,15.716,155.367,89.379,52.411,163.249,92.433,56.172,19.615,7.143,22.457,132.462,77.086,12.445,104.696,5.573,26.562,102.464,80.161,23.466,152.258,17.055,78.346,216.55,132.419,214.991,10.996,52.772,91.26,179.946,178.276,29.844,43.027,6.194,129.63,154.172,105.634,13.596,121.347,150.95,188.397,53.642,26.951,181.468,224.327,121.152,30.785,50.4,204.476,110.587,0,54.955,182.7,128.62, 
Martnez de la Torre,71.514,59.186,157.338,163.426,122.706,63.629,189.368,90.208,63.018,196.517,118.092,80.308,150.685,65.146,126.249,67.783,93.836,4.099,87.772,67.137,46.292,102.563,103.671,99.032,63.175,43.842,55.694,152.11,107.356,264.028,80.949,93.908,107.26,184.345,100.099,107.359,126.238,73.274,174.348,70.081,81.565,207.62,265.602,23.037,185.729,132.281,111.523,141.45,62.486,135.151,186.871,146.069,26.611,13.536,157.785,57.878,100.642,71.047,95.609,109.515,107.279,70.329,128.437,143.992,107.024,129.002,147.046,110.785,74.228,57.414,77.07,80.074,24.697,57.462,108.36,51.173,36.919,68.217,101.7,78.079,118.011,71.668,25.958,182.303,98.172,180.744,54.121,107.385,94.924,154.986,144.029,84.457,97.64,60.807,95.383,119.925,109.298,51.311,68.959,116.703,163.436,2.801,59.05,147.221,261.806,86.905,23.051,82.499,170.229,76.34,54.955,0,159.497,95.951, 
Txpam de Rodrguez Cano,189.148,186.931,218.246,221.408,169.621,181.263,138.803,207.842,197.143,145.952,187.922,208.053,37.638,103.608,150.681,201.908,198.68,161.657,211.714,128.213,191.193,149.478,204.185,50.781,180.809,136.605,183.439,83.488,117.373,182.06,215.074,115.984,185.821,133.78,63.982,193.396,147.485,207.399,130.05,204.206,92.192,157.055,188.326,135.402,117.107,313.737,132.77,162.697,180.12,165.592,136.306,40.914,147.491,171.127,73.729,170.265,62.41,80.093,109.001,338.83,207.793,187.963,46.758,169.564,187.365,53.169,219.628,179.024,191.862,167.776,183.219,102.773,138.244,185.207,118.377,178.918,157.041,87.207,148.615,180.39,83.5,189.302,146.273,131.915,53.669,129.576,181.866,182.805,104.941,5.771,99.731,202.092,201.433,178.441,54.26,85.414,119.315,179.056,91.658,37.41,9.775,160.359,193.174,42.341,184.532,62.82,180.642,216.624,125.931,76.991,182.7,159.497,0,59.862, 
Poza Rica de Hidalgo,135.068,132.851,196.601,199.763,119.898,127.183,105.135,153.762,143.063,112.284,138.199,153.973,60.418,49.528,100.958,147.828,157.39,98.111,161.437,74.133,127.647,99.755,154.462,8.765,126.729,100.966,129.359,61.843,67.65,160.415,160.994,66.261,136.098,100.112,4.941,143.673,97.762,153.319,90.115,150.126,42.469,123.387,166.681,81.322,95.462,183.071,83.047,112.974,126.04,115.869,102.638,55.802,111.852,107.581,67.518,116.185,12.687,26.013,59.278,189.56,158.07,133.883,28.166,119.841,137.642,38.735,197.983,129.301,137.782,113.696,129.139,67.134,102.605,131.127,68.654,124.838,102.961,33.127,98.892,126.31,33.778,135.222,110.634,98.07,7.905,96.511,127.786,133.082,55.218,55.432,59.796,148.012,161.194,124.361,5.116,35.692,69.592,124.976,56.019,26.436,63.883,96.813,139.094,56.954,162.887,8.74,117.096,162.544,85.996,19.206,128.62,95.951,59.862,0, 
